"concept_id","relationship","target_concept_id","target_concept_name"
22274,"finding_site",4262229,"Laryngeal structure"
22274,"morphology",4313421,"Neoplasm of uncertain behavior"
22340,"finding_site",4237655,"Structure of esophageal vein"
22340,"morphology",4029830,"Varix"
22350,"finding_site",4262229,"Laryngeal structure"
22350,"morphology",4196943,"Edema"
22492,"finding_site",4207370,"Pharyngeal structure"
22492,"morphology",4078373,"Foreign body"
22839,"finding_site",4262229,"Laryngeal structure"
22839,"morphology",37153816,"Malignant neoplasm"
22839,"morphology",4312326,"Neoplasm, malignant (primary)"
22871,"finding_site",4164136,"Pineal structure"
22871,"morphology",4313421,"Neoplasm of uncertain behavior"
22955,"finding_site",4140098,"Esophageal structure"
22955,"morphology",4263947,"Perforation"
23034,"finding_site",4034504,"Structure of endocrine system"
23034,"occurrence",4114528,"Neonatal"
23220,"clinical_course",4236661,"Chronic"
23220,"finding_site",4327174,"Palatine tonsillar structure"
23220,"morphology",4224657,"Chronic inflammation"
23220,"morphology",4253009,"Chronic inflammatory morphology"
23325,"finding_site",4140098,"Esophageal structure"
23653,"finding_site",4140098,"Esophageal structure"
23653,"morphology",4078373,"Foreign body"
23731,"finding_site",4262229,"Laryngeal structure"
23731,"morphology",4305589,"Neoplasm, benign"
23798,"clinical_course",4312510,"Sudden onset AND/OR short duration"
23798,"finding_site",4262229,"Laryngeal structure"
23798,"finding_site",4207370,"Pharyngeal structure"
23798,"morphology",4163835,"Acute inflammation"
23986,"finding_site",4209428,"Pituitary structure"
24134,"finding_site",4260843,"Neck structure"
24230,"finding_site",4262229,"Laryngeal structure"
24230,"morphology",4078373,"Foreign body"
24602,"finding_site",4140098,"Esophageal structure"
24602,"morphology",4305589,"Neoplasm, benign"
24609,"finding_site",4034504,"Structure of endocrine system"
24660,"clinical_course",4312510,"Sudden onset AND/OR short duration"
24660,"finding_site",4327174,"Palatine tonsillar structure"
24660,"morphology",4163835,"Acute inflammation"
24818,"finding_site",4260843,"Neck structure"
24818,"morphology",4078068,"Traumatic abnormality"
24909,"finding_site",4218976,"Erythrocyte"
24909,"morphology",4123834,"Spherocyte"
24970,"clinical_course",4236661,"Chronic"
24970,"finding_site",4262229,"Laryngeal structure"
24970,"morphology",4253009,"Chronic inflammatory morphology"
